year,area_code,value
2003,001-002-202-014-MDG,0.02900480479002
2003,001-002-202,0.0311930235475302
2003,001-009-053,0.0651043057441711
2003,001-002-202-014-MOZ,0.0292812362313271
2003,001-002-202-014-MYT,0.0
2003,001-002-202-011-MLI,0.0178760401904583
2003,001-002-202-011-NER,0.0182760283350945
2003,001-150,0.0614982433617115
2003,001-142,0.110062554478645
2003,001-019-419,0.0632039308547974
2003,001-002-202-011,0.0408096127212048
2003,001-002-202-014,0.0435911305248737
2003,001-019-419-029,0.188622295856476
2003,001-142-145-QAT,0.0071794344112277
2003,001-142-143-KGZ,0.0305403359234333
2003,001-142-143-TJK,0.0332598797976971
2003,001-142-035-SGP,0.0719526037573814
2003,001-142-145-ARM,0.080136276781559
2003,001-019-419-029-DMA,0.0585398897528648
2003,001-150-154-EST,0.100308611989021
2003,001-150-039-SVN,0.0731659233570099
2003,001-150-151-POL,0.175032153725624
2003,001-150-039-PRT,0.157825246453285
2003,001-150-151-RUS,0.0148779405280948
2004,001-142-034-IND,0.291715383529663
2004,001-142-034-PAK,0.133335739374161
2004,001-142-030-PRK,0.161583095788956
2004,001-142-034-BTN,0.0346343591809273
2004,001-150-039-ALB,0.139754667878151
2004,001-142-035-THA,0.163862064480782
2004,001-142-035-TLS,0.0711913555860519
2004,001-150-039-MNE,0.116462640464306
2004,001-150-039-PRT,0.157964825630188
2004,001-142-145-KWT,0.0106301726773381
2004,001-142-145-LBN,0.134347051382065
2004,001-019-419-029,0.187581047415733
2004,001-142-034,0.182108238339424
2004,001-019,0.0788495987653732
2004,001-002-015-EGY,0.0135375577956438
2004,001-002-202-014-COM,0.169017389416695
2004,001-002-202-014-ERI,0.0457085520029068
2004,001-002-202-011-GNB,0.053102757781744
2004,001-002-015-ESH,0.0119493436068296
2004,001-002-015-TUN,0.18985652923584
2004,001-142-145,0.0351022817194462
2004,001-002-202-017-CAF,0.0009603237267583
2004,001-002-202-017-CMR,0.0255844909697771
2004,001-002-202-014-MOZ,0.0297784842550755
2004,001-002-202-014-TZA,0.0431928858160973
2004,001-150-039-MKD,0.163682356476784
2004,001-002-202-014-MYT,0.0
2004,001-002-202-017-GNQ,0.001410947763361
2004,001-142-145-OMN,0.0024249744601547
2004,001-142-145-SAU,0.0090259611606597
2004,001-002-202-017-GAB,0.0003411165671423
2004,001-002-202-018-SWZ,0.153780221939087
2004,001-142-034-BGD,0.361181855201721
